optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 15, 19, 2, 6, 5, 7, 13, 11, 16, 3, 18, 20, 1}",3.608174,0.092805,0.000121
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 8, 15, 6, 12, 3, 16, 17, 19, 18, 4, 20, 11, 10, 14, 7, 2, 5, 13, 9, 1}",3.947396,0.082579,0.000156
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 5, 7, 6, 15, 2, 16, 17, 10, 11, 12, 3, 20, 13, 14, 8, 9, 18, 19, 4, 1}",4.140798,0.118208,0.000122
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 3, 8, 20, 19, 18, 6, 4, 15, 9, 17, 13, 12, 16, 2, 10, 11, 5, 7, 14, 1}",4.299089,0.263017,0.000125
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 20, 10, 12, 4, 18, 2, 14, 3, 5, 11, 13, 19, 17, 16, 6, 7, 9, 15, 1}",4.238189,0.066459,0.000158
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 4, 18, 2, 11, 19, 3, 14, 10, 6, 13, 15, 9, 8, 16, 17, 20, 5, 12, 7, 1}",4.710834,0.186905,0.000124
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 2, 10, 3, 20, 7, 8, 11, 13, 6, 16, 17, 14, 12, 5, 18, 15, 4, 9, 19, 1}",4.144697,0.086530,0.000121
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 10, 9, 20, 11, 5, 2, 7, 19, 3, 12, 18, 6, 14, 13, 15, 8, 1}",4.261822,0.142726,0.000155
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 7, 18, 10, 5, 1}",3.775917,0.073264,0.000119
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 9, 10, 18, 15, 6, 8, 20, 19, 17, 7, 2, 12, 16, 13, 5, 11, 3, 4, 14, 1}",4.044328,0.083486,0.000161
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 7, 19, 6, 8, 10, 2, 14, 20, 12, 3, 18, 4, 16, 15, 5, 17, 11, 9, 13, 1}",4.323183,0.101301,0.000124
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 8, 14, 3, 5, 4, 10, 13, 12, 17, 2, 6, 19, 20, 1}",4.506360,0.078672,0.000189
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 10, 6, 18, 5, 3, 15, 19, 11, 16, 17, 8, 20, 9, 13, 2, 14, 7, 12, 4, 1}",4.477719,0.118015,0.000183
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 8, 4, 9, 16, 17, 12, 5, 14, 11, 20, 2, 6, 15, 10, 13, 3, 18, 7, 19, 1}",4.148491,0.036185,0.000124
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 19, 2, 20, 8, 5, 3, 12, 18, 10, 4, 15, 6, 7, 13, 14, 17, 11, 9, 16, 1}",4.179861,0.027106,0.000132
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 8, 13, 4, 7, 10, 16, 14, 5, 15, 12, 18, 9, 3, 17, 19, 20, 6, 2, 11, 1}",3.365595,0.057299,0.000147
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 10, 12, 19, 2, 7, 16, 4, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 3, 13, 1}",3.810621,0.086754,0.000134
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 6, 17, 15, 10, 4, 13, 3, 14, 12, 18, 20, 9, 7, 2, 16, 8, 11, 5, 19, 1}",4.321068,0.212058,0.000124
