optimal_tour,optimal_tour_length,2opt_tour,2opt_tour_length,score,time
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 20, 17, 19, 3, 9, 14, 10, 15, 16, 5, 12, 2, 18, 8, 11, 4, 13, 7, 6, 1}",3.445785,0.000000,0.000344
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 5, 16, 9, 13, 17, 6, 12, 7, 20, 8, 19, 14, 11, 10, 2, 3, 15, 4, 1}",4.238793,0.008152,0.000805
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 6, 11, 20, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 7, 1}",4.178802,0.018662,0.000738
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 9, 10, 16, 2, 6, 12, 13, 5, 8, 14, 7, 18, 15, 17, 3, 4, 19, 11, 20, 1}",4.262448,0.043288,0.000502
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 8, 17, 11, 9, 4, 18, 19, 2, 10, 15, 7, 16, 20, 3, 12, 5, 14, 1}",3.897108,0.019571,0.001025
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,0.000000,0.000183
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 14, 3, 15, 17, 5, 12, 16, 2, 18, 11, 9, 10, 4, 7, 13, 8, 6, 20, 19, 1}",3.887375,0.000000,0.000716
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 17, 5, 14, 3, 2, 9, 4, 11, 16, 10, 18, 19, 15, 7, 20, 12, 8, 6, 13, 1}",4.314392,0.070725,0.000495
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 5, 3, 7, 18, 19, 15, 9, 4, 11, 2, 20, 10, 17, 16, 14, 13, 6, 8, 12, 1}",4.269086,0.039829,0.000677
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 13, 20, 7, 6, 11, 14, 12, 2, 17, 15, 9, 19, 10, 8, 5, 18, 3, 4, 16, 1}",4.008653,0.010296,0.000827
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,0.000000,0.000618
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 16, 7, 3, 6, 14, 17, 13, 19, 15, 9, 11, 8, 2, 10, 20, 5, 4, 18, 12, 1}",5.224290,0.089514,0.000452
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 5, 4, 12, 9, 11, 6, 3, 8, 10, 7, 20, 2, 18, 17, 16, 19, 13, 14, 15, 1}",3.510178,0.011829,0.000716
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 16, 19, 20, 17, 3, 15, 2, 11, 6, 18, 4, 9, 10, 8, 5, 7, 14, 12, 1}",3.482816,0.000000,0.000503
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 5, 2, 17, 20, 10, 7, 8, 6, 18, 15, 3, 14, 19, 13, 16, 12, 4, 11, 9, 1}",3.977633,0.124629,0.000369
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 15, 2, 19, 7, 11, 17, 5, 6, 10, 3, 12, 20, 13, 4, 8, 9, 16, 14, 18, 1}",3.998519,0.014049,0.000663
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 5, 19, 11, 12, 10, 18, 15, 13, 20, 9, 4, 14, 16, 8, 6, 7, 3, 17, 2, 1}",3.248977,0.000000,0.000454
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 14, 9, 4, 18, 16, 13, 10, 15, 19, 2, 20, 1}",3.764701,0.000078,0.000677
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 2, 19, 15, 6, 5, 7, 13, 11, 3, 16, 18, 20, 1}",3.301753,0.000000,0.000729
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 15, 8, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 13, 9, 16, 3, 12, 6, 1}",4.157717,0.140260,0.000609
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 4, 19, 18, 2, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 6, 15, 1}",3.843289,0.037867,0.000410
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 5, 12, 2, 16, 10, 11, 17, 14, 7, 15, 9, 4, 6, 18, 19, 20, 8, 13, 3, 1}",3.453677,0.014646,0.000478
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 15, 9, 7, 6, 16, 19, 13, 3, 2, 14, 18, 12, 20, 10, 4, 11, 5, 17, 1}",4.524107,0.138405,0.000904
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 4, 3, 14, 6, 10, 7, 12, 20, 5, 17, 16, 13, 15, 8, 9, 19, 11, 18, 2, 1}",3.996105,0.006827,0.000784
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 3, 20, 2, 10, 7, 8, 16, 17, 14, 12, 5, 18, 15, 4, 9, 13, 6, 11, 19, 1}",4.044162,0.060175,0.000684
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 6, 3, 12, 18, 14, 13, 15, 8, 1}",3.934008,0.054829,0.000886
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,0.000000,0.000488
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 4, 3, 11, 5, 13, 10, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 1}",3.735021,0.000622,0.000575
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 13, 4, 16, 17, 11, 9, 5, 15, 14, 2, 10, 8, 6, 20, 12, 3, 18, 19, 7, 1}",3.925524,0.000000,0.000746
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 8, 14, 3, 5, 19, 20, 6, 17, 2, 12, 13, 4, 10, 1}",4.201169,0.005619,0.000421
