optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 8, 9, 2, 4, 7, 5, 6, 3, 10, 1}",2.680064,"{1, 8, 9, 2, 4, 7, 5, 6, 3, 10, 1}",2.680064,0.000000,0.031947
"{1, 4, 6, 8, 3, 2, 7, 5, 9, 10, 1}",3.054547,"{1, 4, 6, 8, 3, 2, 7, 5, 9, 10, 1}",3.054547,0.000000,0.032096
"{1, 2, 7, 4, 9, 3, 6, 10, 8, 5, 1}",2.699164,"{1, 2, 7, 4, 9, 3, 6, 10, 8, 5, 1}",2.699164,0.000000,0.032086
"{1, 6, 7, 2, 5, 4, 10, 9, 3, 8, 1}",2.481569,"{1, 6, 7, 2, 5, 4, 10, 9, 3, 8, 1}",2.481569,0.000000,0.032212
"{1, 8, 6, 2, 10, 3, 7, 4, 5, 9, 1}",2.830612,"{1, 9, 5, 4, 7, 3, 10, 2, 6, 8, 1}",2.830612,0.000000,0.032993
"{1, 4, 2, 10, 3, 7, 8, 5, 9, 6, 1}",2.385435,"{1, 6, 9, 5, 8, 7, 3, 10, 2, 4, 1}",2.385434,0.000000,0.032292
"{1, 3, 2, 7, 8, 5, 4, 10, 6, 9, 1}",2.678073,"{1, 3, 2, 7, 8, 5, 4, 10, 6, 9, 1}",2.678073,0.000000,0.032678
"{1, 9, 8, 6, 3, 2, 7, 5, 10, 4, 1}",3.045031,"{1, 9, 8, 6, 4, 3, 2, 7, 5, 10, 1}",3.102983,0.019032,0.031945
"{1, 4, 8, 5, 10, 7, 9, 2, 6, 3, 1}",3.098381,"{1, 3, 6, 2, 9, 7, 10, 5, 8, 4, 1}",3.098381,0.000000,0.031922
"{1, 4, 7, 5, 8, 10, 9, 2, 3, 6, 1}",3.159462,"{1, 6, 3, 2, 9, 10, 8, 5, 7, 4, 1}",3.159462,0.000000,0.031933
"{1, 7, 4, 10, 2, 6, 3, 8, 5, 9, 1}",2.162367,"{1, 9, 5, 8, 3, 6, 2, 10, 4, 7, 1}",2.162367,0.000000,0.031948
"{1, 2, 5, 6, 10, 7, 3, 4, 8, 9, 1}",3.210583,"{1, 9, 8, 4, 6, 10, 3, 7, 5, 2, 1}",3.277615,0.020879,0.031976
"{1, 7, 10, 6, 9, 5, 4, 8, 3, 2, 1}",3.015062,"{1, 2, 3, 8, 4, 5, 9, 6, 10, 7, 1}",3.015062,0.000000,0.032171
"{1, 7, 10, 5, 4, 8, 3, 6, 2, 9, 1}",3.087526,"{1, 6, 7, 10, 5, 4, 8, 3, 2, 9, 1}",3.162055,0.024138,0.032033
"{1, 5, 8, 9, 3, 2, 7, 10, 4, 6, 1}",2.805842,"{1, 5, 8, 9, 3, 2, 7, 10, 4, 6, 1}",2.805842,0.000000,0.031868
"{1, 2, 3, 7, 10, 5, 9, 8, 4, 6, 1}",3.204342,"{1, 6, 4, 8, 9, 5, 10, 7, 3, 2, 1}",3.204342,0.000000,0.031861
"{1, 4, 2, 8, 10, 7, 5, 9, 3, 6, 1}",2.682520,"{1, 4, 2, 8, 10, 7, 5, 9, 3, 6, 1}",2.682520,0.000000,0.031810
"{1, 3, 5, 9, 10, 7, 6, 2, 4, 8, 1}",3.011919,"{1, 8, 4, 2, 6, 7, 10, 9, 5, 3, 1}",3.011919,0.000000,0.032030
"{1, 4, 8, 9, 7, 2, 3, 6, 5, 10, 1}",2.880089,"{1, 4, 8, 9, 7, 2, 3, 6, 5, 10, 1}",2.880089,0.000000,0.031682
"{1, 5, 4, 9, 2, 6, 3, 7, 10, 8, 1}",2.683815,"{1, 8, 10, 7, 3, 6, 2, 9, 4, 5, 1}",2.683816,0.000000,0.032220
"{1, 8, 3, 4, 9, 2, 6, 7, 5, 10, 1}",2.845034,"{1, 10, 5, 7, 6, 2, 9, 4, 3, 8, 1}",2.845033,0.000000,0.031929
"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,0.000000,0.032043
"{1, 8, 6, 9, 5, 7, 3, 2, 10, 4, 1}",3.499470,"{1, 8, 6, 9, 5, 7, 3, 2, 10, 4, 1}",3.499470,0.000000,0.031983
"{1, 5, 3, 7, 10, 8, 4, 6, 2, 9, 1}",2.327446,"{1, 9, 2, 6, 4, 8, 10, 7, 3, 5, 1}",2.327446,0.000000,0.031988
"{1, 8, 2, 9, 5, 3, 6, 10, 4, 7, 1}",2.863571,"{1, 8, 2, 9, 5, 3, 6, 10, 4, 7, 1}",2.863571,0.000000,0.032283
"{1, 6, 10, 5, 7, 8, 4, 9, 2, 3, 1}",2.681528,"{1, 6, 10, 5, 7, 8, 4, 9, 2, 3, 1}",2.681528,0.000000,0.032458
"{1, 6, 8, 10, 5, 2, 3, 7, 9, 4, 1}",3.073713,"{1, 4, 9, 7, 3, 2, 5, 10, 8, 6, 1}",3.073713,0.000000,0.031954
"{1, 8, 10, 9, 3, 2, 4, 6, 7, 5, 1}",2.997110,"{1, 8, 10, 9, 3, 2, 7, 4, 6, 5, 1}",2.988095,-0.003008,0.031995
"{1, 8, 3, 4, 6, 10, 7, 9, 5, 2, 1}",2.673085,"{1, 8, 3, 4, 6, 10, 7, 9, 5, 2, 1}",2.673085,0.000000,0.032333
"{1, 3, 7, 2, 5, 6, 4, 10, 8, 9, 1}",2.460655,"{1, 9, 8, 10, 4, 6, 5, 2, 7, 3, 1}",2.460655,0.000000,0.031868
"{1, 7, 2, 10, 4, 9, 8, 6, 3, 5, 1}",2.737237,"{1, 7, 2, 10, 4, 9, 8, 6, 3, 5, 1}",2.737237,0.000000,0.031954
"{1, 5, 8, 4, 3, 10, 9, 2, 6, 7, 1}",2.986832,"{1, 5, 8, 4, 3, 10, 9, 2, 6, 7, 1}",2.986832,0.000000,0.031946
"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,"{1, 2, 9, 8, 4, 5, 7, 3, 6, 10, 1}",3.221305,0.000000,0.031979
"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,0.000000,0.032143
"{1, 9, 7, 6, 3, 8, 5, 10, 2, 4, 1}",3.254561,"{1, 4, 2, 10, 5, 8, 3, 6, 7, 9, 1}",3.254561,0.000000,0.032093
