optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 2, 6, 8, 4, 10, 9, 3, 5, 7, 1}",2.826813,"{1, 2, 5, 3, 10, 9, 8, 4, 6, 7, 1}",3.550762,0.256101,0.000018
"{1, 9, 5, 4, 2, 10, 8, 3, 7, 6, 1}",3.019920,"{1, 6, 9, 5, 4, 2, 10, 8, 3, 7, 1}",3.105442,0.028319,0.000018
"{1, 7, 9, 2, 6, 8, 3, 5, 4, 10, 1}",2.804468,"{1, 2, 9, 7, 6, 8, 3, 5, 4, 10, 1}",2.868699,0.022903,0.000018
"{1, 8, 3, 10, 9, 6, 5, 4, 7, 2, 1}",2.467897,"{1, 8, 3, 7, 4, 5, 6, 9, 10, 2, 1}",2.646085,0.072202,0.000018
"{1, 5, 3, 10, 7, 8, 4, 9, 2, 6, 1}",2.903120,"{1, 6, 2, 9, 4, 8, 7, 10, 3, 5, 1}",2.903120,0.000000,0.000018
"{1, 8, 4, 7, 2, 10, 3, 9, 6, 5, 1}",3.148333,"{1, 5, 6, 9, 3, 10, 2, 7, 4, 8, 1}",3.148333,0.000000,0.000018
"{1, 2, 7, 6, 8, 10, 9, 3, 5, 4, 1}",2.612129,"{1, 4, 2, 7, 6, 8, 10, 9, 3, 5, 1}",2.642469,0.011615,0.000019
"{1, 7, 4, 10, 2, 3, 6, 9, 8, 5, 1}",2.970244,"{1, 5, 7, 6, 3, 2, 9, 8, 4, 10, 1}",3.847674,0.295407,0.000018
"{1, 6, 8, 3, 4, 5, 9, 2, 7, 10, 1}",2.750998,"{1, 10, 7, 2, 9, 5, 4, 3, 8, 6, 1}",2.750998,0.000000,0.000018
"{1, 10, 4, 3, 9, 5, 8, 7, 2, 6, 1}",3.211127,"{1, 5, 8, 7, 2, 6, 10, 4, 3, 9, 1}",3.399345,0.058614,0.000018
"{1, 10, 6, 4, 9, 5, 8, 3, 7, 2, 1}",2.305279,"{1, 2, 7, 3, 8, 5, 9, 4, 6, 10, 1}",2.305279,0.000000,0.000018
"{1, 8, 9, 2, 4, 7, 5, 6, 3, 10, 1}",2.680064,"{1, 10, 3, 6, 5, 7, 8, 4, 2, 9, 1}",2.846304,0.062028,0.000018
"{1, 4, 6, 8, 3, 2, 7, 5, 9, 10, 1}",3.054547,"{1, 4, 6, 10, 9, 5, 7, 2, 8, 3, 1}",3.432164,0.123624,0.000018
"{1, 2, 7, 4, 9, 3, 6, 10, 8, 5, 1}",2.699164,"{1, 5, 8, 10, 6, 3, 9, 4, 7, 2, 1}",2.699164,0.000000,0.000029
"{1, 6, 7, 2, 5, 4, 10, 9, 3, 8, 1}",2.481569,"{1, 6, 7, 2, 5, 4, 10, 9, 8, 3, 1}",2.512597,0.012504,0.000018
"{1, 8, 6, 2, 10, 3, 7, 4, 5, 9, 1}",2.830612,"{1, 4, 5, 9, 7, 8, 6, 2, 10, 3, 1}",3.064425,0.082601,0.000035
"{1, 4, 2, 10, 3, 7, 8, 5, 9, 6, 1}",2.385435,"{1, 6, 4, 2, 3, 7, 10, 5, 9, 8, 1}",3.403326,0.426711,0.000018
"{1, 3, 2, 7, 8, 5, 4, 10, 6, 9, 1}",2.678073,"{1, 3, 2, 7, 8, 5, 4, 10, 6, 9, 1}",2.678073,0.000000,0.000018
"{1, 9, 8, 6, 3, 2, 7, 5, 10, 4, 1}",3.045031,"{1, 4, 6, 9, 8, 3, 5, 7, 2, 10, 1}",3.523022,0.156974,0.000018
"{1, 4, 8, 5, 10, 7, 9, 2, 6, 3, 1}",3.098381,"{1, 3, 6, 9, 2, 5, 10, 8, 4, 7, 1}",3.692096,0.191621,0.000018
"{1, 4, 7, 5, 8, 10, 9, 2, 3, 6, 1}",3.159462,"{1, 6, 7, 4, 5, 10, 8, 9, 2, 3, 1}",3.706745,0.173220,0.000018
"{1, 7, 4, 10, 2, 6, 3, 8, 5, 9, 1}",2.162367,"{1, 9, 5, 8, 7, 4, 10, 2, 6, 3, 1}",2.462771,0.138923,0.000018
"{1, 2, 5, 6, 10, 7, 3, 4, 8, 9, 1}",3.210583,"{1, 9, 2, 5, 6, 10, 3, 7, 8, 4, 1}",3.476576,0.082849,0.000019
"{1, 7, 10, 6, 9, 5, 4, 8, 3, 2, 1}",3.015062,"{1, 2, 8, 4, 7, 10, 5, 9, 6, 3, 1}",3.604510,0.195501,0.000018
"{1, 7, 10, 5, 4, 8, 3, 6, 2, 9, 1}",3.087526,"{1, 9, 2, 6, 3, 8, 5, 10, 4, 7, 1}",3.357538,0.087452,0.000018
"{1, 5, 8, 9, 3, 2, 7, 10, 4, 6, 1}",2.805842,"{1, 7, 2, 9, 8, 5, 4, 6, 10, 3, 1}",3.302875,0.177142,0.000018
"{1, 2, 3, 7, 10, 5, 9, 8, 4, 6, 1}",3.204342,"{1, 6, 4, 2, 3, 7, 9, 5, 10, 8, 1}",3.705992,0.156553,0.000018
"{1, 4, 2, 8, 10, 7, 5, 9, 3, 6, 1}",2.682520,"{1, 8, 4, 2, 10, 7, 5, 9, 3, 6, 1}",2.697391,0.005544,0.000018
"{1, 3, 5, 9, 10, 7, 6, 2, 4, 8, 1}",3.011919,"{1, 8, 4, 2, 6, 9, 7, 10, 5, 3, 1}",3.291589,0.092855,0.000018
"{1, 4, 8, 9, 7, 2, 3, 6, 5, 10, 1}",2.880089,"{1, 4, 8, 10, 5, 6, 3, 2, 9, 7, 1}",2.958779,0.027322,0.000027
"{1, 5, 4, 9, 2, 6, 3, 7, 10, 8, 1}",2.683815,"{1, 8, 5, 4, 9, 2, 6, 3, 7, 10, 1}",2.723567,0.014811,0.000018
"{1, 8, 3, 4, 9, 2, 6, 7, 5, 10, 1}",2.845034,"{1, 4, 10, 5, 7, 2, 6, 9, 3, 8, 1}",2.945081,0.035166,0.000018
"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,"{1, 8, 5, 3, 6, 9, 7, 10, 2, 4, 1}",2.692173,0.000000,0.000018
"{1, 8, 6, 9, 5, 7, 3, 2, 10, 4, 1}",3.499470,"{1, 8, 4, 7, 3, 5, 9, 6, 2, 10, 1}",3.741845,0.069261,0.000018
"{1, 5, 3, 7, 10, 8, 4, 6, 2, 9, 1}",2.327446,"{1, 9, 2, 6, 4, 8, 10, 7, 3, 5, 1}",2.327446,0.000000,0.000018
"{1, 8, 2, 9, 5, 3, 6, 10, 4, 7, 1}",2.863571,"{1, 8, 2, 9, 5, 3, 10, 6, 4, 7, 1}",2.982360,0.041483,0.000018
"{1, 6, 10, 5, 7, 8, 4, 9, 2, 3, 1}",2.681528,"{1, 5, 7, 8, 10, 6, 2, 3, 9, 4, 1}",3.254930,0.213834,0.000024
"{1, 6, 8, 10, 5, 2, 3, 7, 9, 4, 1}",3.073713,"{1, 6, 8, 10, 5, 2, 3, 7, 9, 4, 1}",3.073713,0.000000,0.000018
"{1, 8, 10, 9, 3, 2, 4, 6, 7, 5, 1}",2.997110,"{1, 8, 5, 10, 9, 3, 2, 7, 6, 4, 1}",3.232211,0.078443,0.000018
"{1, 8, 3, 4, 6, 10, 7, 9, 5, 2, 1}",2.673085,"{1, 2, 5, 7, 9, 10, 4, 6, 3, 8, 1}",2.747245,0.027743,0.000018
"{1, 3, 7, 2, 5, 6, 4, 10, 8, 9, 1}",2.460655,"{1, 9, 4, 2, 6, 5, 10, 8, 3, 7, 1}",2.771855,0.126470,0.000018
